2024-12-28 17:35:43,938 INFO    MainThread:87666 [wandb_setup.py:_flush():68] Current SDK version is 0.19.1
2024-12-28 17:35:43,939 INFO    MainThread:87666 [wandb_setup.py:_flush():68] Configure stats pid to 87666
2024-12-28 17:35:43,939 INFO    MainThread:87666 [wandb_setup.py:_flush():68] Loading settings from /Users/akchunya/.config/wandb/settings
2024-12-28 17:35:43,939 INFO    MainThread:87666 [wandb_setup.py:_flush():68] Loading settings from /Users/akchunya/Projects/WSD-without-compromise/wandb/settings
2024-12-28 17:35:43,939 INFO    MainThread:87666 [wandb_setup.py:_flush():68] Loading settings from environment variables
2024-12-28 17:35:43,939 INFO    MainThread:87666 [wandb_init.py:_log_setup():528] Logging user logs to /Users/akchunya/Projects/WSD-without-compromise/wandb/run-20241228_173543-f2zjdwfo/logs/debug.log
2024-12-28 17:35:43,940 INFO    MainThread:87666 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/akchunya/Projects/WSD-without-compromise/wandb/run-20241228_173543-f2zjdwfo/logs/debug-internal.log
2024-12-28 17:35:43,940 INFO    MainThread:87666 [wandb_init.py:init():644] calling init triggers
2024-12-28 17:35:43,940 INFO    MainThread:87666 [wandb_init.py:init():650] wandb.init called with sweep_config: {}
config: {'seed': 42, 'latent_dim': 100, 'batch_size': 64, 'learning_rate': 0.0001, 'dataset': 'playing_cards_minimal', 'epochs': 100, 'architecture': 'VAE'}
2024-12-28 17:35:43,940 INFO    MainThread:87666 [wandb_init.py:init():680] starting backend
2024-12-28 17:35:43,940 INFO    MainThread:87666 [wandb_init.py:init():684] sending inform_init request
2024-12-28 17:35:43,965 INFO    MainThread:87666 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-12-28 17:35:43,965 INFO    MainThread:87666 [wandb_init.py:init():697] backend started and connected
2024-12-28 17:35:43,968 INFO    MainThread:87666 [wandb_init.py:init():790] updated telemetry
2024-12-28 17:35:43,988 INFO    MainThread:87666 [wandb_init.py:init():822] communicating run to backend with 90.0 second timeout
2024-12-28 17:35:44,868 INFO    MainThread:87666 [wandb_init.py:init():874] starting run threads in backend
2024-12-28 17:35:44,920 INFO    MainThread:87666 [wandb_run.py:_console_start():2374] atexit reg
2024-12-28 17:35:44,920 INFO    MainThread:87666 [wandb_run.py:_redirect():2224] redirect: wrap_raw
2024-12-28 17:35:44,920 INFO    MainThread:87666 [wandb_run.py:_redirect():2289] Wrapping output streams.
2024-12-28 17:35:44,920 INFO    MainThread:87666 [wandb_run.py:_redirect():2314] Redirects installed.
2024-12-28 17:35:44,922 INFO    MainThread:87666 [wandb_init.py:init():916] run started, returning control to user process
2024-12-28 18:14:34,644 INFO    MainThread:87666 [wandb_run.py:_finish():2100] finishing run akchunyachanchal-king-s-college-london/VAE Latent Dimension Test/f2zjdwfo
2024-12-28 18:14:34,645 INFO    MainThread:87666 [wandb_run.py:_atexit_cleanup():2339] got exitcode: 0
2024-12-28 18:14:34,645 INFO    MainThread:87666 [wandb_run.py:_restore():2321] restore
2024-12-28 18:14:34,645 INFO    MainThread:87666 [wandb_run.py:_restore():2327] restore done
2024-12-28 18:14:37,380 INFO    MainThread:87666 [wandb_run.py:_footer_history_summary_info():3892] rendering history
2024-12-28 18:14:37,383 INFO    MainThread:87666 [wandb_run.py:_footer_history_summary_info():3924] rendering summary
2024-12-28 18:14:37,392 INFO    MainThread:87666 [wandb_run.py:_footer_sync_info():3853] logging synced files
